uprCd,orgCd,orgdownNm
6110000,6119999,가정보호
6110000,3220000,강남구
6110000,3240000,강동구
6110000,3080000,강북구
6110000,3150000,강서구
6110000,3200000,관악구
6110000,3040000,광진구
6110000,3160000,구로구
6110000,3170000,금천구
6110000,3100000,노원구
6110000,3090000,도봉구
6110000,3050000,동대문구
6110000,3190000,동작구
6110000,3130000,마포구
6110000,3120000,서대문구
6110000,6119998,서울특별시
6110000,3210000,서초구
6110000,3030000,성동구
6110000,3070000,성북구
6110000,3230000,송파구
6110000,3140000,양천구
6110000,3180000,영등포구
6110000,3020000,용산구
6110000,3110000,은평구
6110000,3000000,종로구
6110000,3010000,중구
6110000,3060000,중랑구
