desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
444568202400376,http://www.animal.go.kr/files/shelter/2024/07/202407171007414_s.jpg,20240717,당진시 송악읍 청금리 276-5,[개] 말티즈,흰색,2021(년생),1.50(Kg),충남-당진-2024-00374,20240717,20240726,http://www.animal.go.kr/files/shelter/2024/07/202407171007414.jpg,보호중,F,U,"양쪽눈 안구질환있음,야윔,순함",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4231
444568202400375,http://www.animal.go.kr/files/shelter/2024/07/202407171007658_s.jpg,20240717,당진시 송악읍 반촌로 162,[개] 웰시 코기 펨브로크,"갈,흰",2021(년생),7.00(Kg),충남-당진-2024-00373,20240717,20240726,http://www.animal.go.kr/files/shelter/2024/07/202407171007658.jpg,보호중,M,U,"파란색 목줄착용,피부병,야윔,순함",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4231
444462202400801,http://www.animal.go.kr/files/shelter/2024/07/202407171307758_s.jpg,20240717,태안 새빛마을 근처,[개] 믹스견,황색,2018(년생),6(Kg),충남-태안-2024-00443,20240717,20240729,http://www.animal.go.kr/files/shelter/2024/07/202407171307758.jpg,보호중,F,N,순하고 잘따름,최동물병원,041-672-0346,충청남도 태안군 태안읍 남문리 504-6,충청남도 태안군,태안군,041-670-2371
444449202401476,http://www.animal.go.kr/files/shelter/2024/07/202407171307598_s.jpg,20240717,동남구 향교1길 130-23 새로나병원 주차장,[개] 믹스견,갈색,2018(년생),23(Kg),충남-천안-2024-00632,20240717,20240729,http://www.animal.go.kr/files/shelter/2024/07/202407171307598.jpg,보호중,F,U,"심장사상충 양성, 겁은 있으나 사람을 싫어하지 않음",천안시 동물보호센터,010-5913-5119,"충청남도 천안시 동남구 목천읍 충절로 577  문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",충청남도 천안시,축산과,041-521-5734
444449202401475,http://www.animal.go.kr/files/shelter/2024/07/20240717130759_s.jpg,20240717,서북구 3공단6로 77,[개] 믹스견,검+흰,2021(년생),9(Kg),충남-천안-2024-00631,20240717,20240729,http://www.animal.go.kr/files/shelter/2024/07/20240717130759.jpg,보호중,F,U,"경계 있음, 겁이 많음",천안시 동물보호센터,010-5913-5119,"충청남도 천안시 동남구 목천읍 충절로 577  문의전화 : 입양(010-5913-5119), 구조(010-4999-6119)",충청남도 천안시,축산과,041-521-5734
444461202400514,http://www.animal.go.kr/files/shelter/2024/07/202407162007754_s.jpg,20240716,시산서길 61-12,[개] 믹스견,갈색,2024(60일미만)(년생),1(Kg),충남-예산-2024-00391,20240717,20240725,http://www.animal.go.kr/files/shelter/2024/07/202407162007754.jpg,보호중,Q,N,빈농장어 방치된상태 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도 예산군,가축방역팀,041-339-7833
444461202400513,http://www.animal.go.kr/files/shelter/2024/07/202407161907198_s.jpg,20240716,예당로 1345-12,[개] 믹스견,회색,2024(년생),2(Kg),충남-예산-2024-00390,20240717,20240725,http://www.animal.go.kr/files/shelter/2024/07/202407161907198.jpg,보호중,F,N,추모공원 방치된상태 주민 신고후 출동 구조함.,예산동물보호센터,010-5453-8043,충청남도 예산군 예산읍 아리랑로 236  지하1층,충청남도 예산군,가축방역팀,041-339-7833
444454202400603,http://www.animal.go.kr/files/shelter/2024/07/202407171007522_s.jpg,20240716,논산시 대교동,[고양이] 한국 고양이,흑황백색,2022(년생),1.70(Kg),충남-논산-2024-00498,20240717,20240729,http://www.animal.go.kr/files/shelter/2024/07/202407171007522.jpg,종료(자연사),F,U,"매우야윔,예후 불량,개구 호흡,저체온증,진료 중 자연사",논산시 동물보호센터,041-746-8470,충청남도 논산시 계백로665번길 100 (등화동) 논산시 동물보호센터,충청남도 논산시,논산시,041-746-8470
444568202400374,http://www.animal.go.kr/files/shelter/2024/07/202407161307126_s.jpg,20240716,당진시 송악읍 신복운로 5 한진공원,[개] 말티즈,흰색,2020(년생),5.00(Kg),충남-당진-2024-00372,20240716,20240725,http://www.animal.go.kr/files/shelter/2024/07/202407161307126.jpg,보호중,F,U,"순함,공원에 버려짐,미용되어있음,임시보호중",당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4231
444460202400727,http://www.animal.go.kr/files/shelter/2024/07/202407161507857_s.jpg,20240716,홍성읍 백월로61번길 53-26,[개] 믹스견,검정,2024(년생),1.5(Kg),충남-홍성-2024-00322,20240716,20240723,http://www.animal.go.kr/files/shelter/2024/07/202407161507857.jpg,보호중,F,U,야생성 있음,금일동물보호센터,041-634-5400,충청남도 홍성군 홍동면 충절로 625 (홍동면) ,충청남도 홍성군,김정태,041-630-1771
